Name;Number of Customers;Duration;isSolved;Gap;with SVs;Objective;isInfeasible;isFuel;isFreight;Date
N8-C_DV100-C_SV30_F6_11_No_1;8;9,6;WAHR;0;FALSCH;2151,88;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:34
N8-C_DV100-C_SV30_F6_12_No_1;8;0,72;WAHR;0;FALSCH;2157,22;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:35
N8-C_DV100-C_SV30_F6_13_No_1;8;7,41;WAHR;0;FALSCH;3188,68;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:43
N8-C_DV100-C_SV30_F6_14_No_1;8;1,09;WAHR;0;FALSCH;2172,71;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:44
N8-C_DV100-C_SV30_F6_2_No_1;8;2,05;WAHR;0;FALSCH;2117,4;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:46
N8-C_DV100-C_SV30_F6_3_No_1;8;1,97;WAHR;0;FALSCH;2151,71;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:48
N8-C_DV100-C_SV30_F6_4_No_1;8;31,81;WAHR;0;FALSCH;3195,28;FALSCH;WAHR;FALSCH;2015.06.20 - 12:05:20
N8-C_DV100-C_SV30_F6_5_No_1;8;62,95;WAHR;0;WAHR;2199,25;FALSCH;WAHR;FALSCH;2015.06.20 - 12:06:23
N8-C_DV100-C_SV30_F6_6_No_1;8;9,33;WAHR;0;FALSCH;3203,98;FALSCH;WAHR;FALSCH;2015.06.20 - 12:06:32
N8-C_DV100-C_SV30_F6_7_No_1;8;2,71;WAHR;0;FALSCH;2145,4;FALSCH;WAHR;FALSCH;2015.06.20 - 12:06:35
N8-C_DV100-C_SV30_F6_8_No_1;8;6,35;WAHR;0;FALSCH;3176,36;FALSCH;WAHR;FALSCH;2015.06.20 - 12:06:41
N8-C_DV100-C_SV30_F6_9_No_1;8;2,86;WAHR;0;FALSCH;3248,95;FALSCH;WAHR;FALSCH;2015.06.20 - 12:06:44
N6-C_DV100-C_SV30_F6_0_No_1;6;0,32;WAHR;0;FALSCH;3171,47;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:02
N6-C_DV100-C_SV30_F6_1_No_1;6;0,19;WAHR;0;FALSCH;2147,12;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:02
N6-C_DV100-C_SV30_F6_10_No_1;6;0,21;WAHR;0;FALSCH;2156,77;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:03
N6-C_DV100-C_SV30_F6_11_No_1;6;0,22;WAHR;0;FALSCH;2136,83;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:03
N6-C_DV100-C_SV30_F6_12_No_1;6;0,06;WAHR;0;FALSCH;3203,1;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:03
N6-C_DV100-C_SV30_F6_13_No_1;6;0,01;WAHR;0;FALSCH;3194,91;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:03
N6-C_DV100-C_SV30_F6_14_No_1;6;0,14;WAHR;0;FALSCH;2161,5;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:03
N6-C_DV100-C_SV30_F6_2_No_1;6;0,2;WAHR;0;FALSCH;2111,27;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:03
N6-C_DV100-C_SV30_F6_3_No_1;6;0,15;WAHR;0;FALSCH;2131,88;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:04
N6-C_DV100-C_SV30_F6_4_No_1;6;0,35;WAHR;0;FALSCH;2130,94;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:04
N6-C_DV100-C_SV30_F6_5_No_1;6;0,64;WAHR;0;FALSCH;2093,41;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:05
N6-C_DV100-C_SV30_F6_6_No_1;6;0,23;WAHR;0;FALSCH;3171,15;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:05
N6-C_DV100-C_SV30_F6_7_No_1;6;0,11;WAHR;0;FALSCH;2127,95;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:05
N6-C_DV100-C_SV30_F6_8_No_1;6;0,24;WAHR;0;FALSCH;2118,19;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:05
N6-C_DV100-C_SV30_F6_9_No_1;6;0,34;WAHR;0;FALSCH;3179,03;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:06
N8-C_DV100-C_SV30_F6_0_No_1;8;0,96;WAHR;0;FALSCH;3212,61;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:07
N8-C_DV100-C_SV30_F6_1_No_1;8;0,3;WAHR;0;FALSCH;3192,73;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:07
N8-C_DV100-C_SV30_F6_10_No_1;8;0,28;WAHR;0;FALSCH;3237,89;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:07
N8-C_DV100-C_SV30_F6_11_No_1;8;2,4;WAHR;0;FALSCH;2151,88;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:10
N8-C_DV100-C_SV30_F6_12_No_1;8;0,56;WAHR;0;FALSCH;2157,22;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:11
N8-C_DV100-C_SV30_F6_13_No_1;8;0,49;WAHR;0;FALSCH;3188,68;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:11
N8-C_DV100-C_SV30_F6_14_No_1;8;0,8;WAHR;0;FALSCH;2172,71;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:12
N8-C_DV100-C_SV30_F6_2_No_1;8;3,08;WAHR;0;FALSCH;2117,4;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:15
N8-C_DV100-C_SV30_F6_3_No_1;8;1,9;WAHR;0;FALSCH;2151,71;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:17
N8-C_DV100-C_SV30_F6_4_No_1;8;1,89;WAHR;0;FALSCH;3195,28;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:19
N8-C_DV100-C_SV30_F6_5_No_1;8;3,43;WAHR;0;FALSCH;3182,03;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:22
N8-C_DV100-C_SV30_F6_6_No_1;8;0,48;WAHR;0;FALSCH;3203,98;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:23
N8-C_DV100-C_SV30_F6_7_No_1;8;1,12;WAHR;0;FALSCH;2145,4;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:24
N8-C_DV100-C_SV30_F6_8_No_1;8;0,53;WAHR;0;FALSCH;3176,36;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:25
N8-C_DV100-C_SV30_F6_9_No_1;8;0,24;WAHR;0;FALSCH;3248,95;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:11:25
N10-C_DV100-C_SV30_F6_0_No_1;10;14,77;WAHR;0;FALSCH;2144,6;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:15:17
N10-C_DV100-C_SV30_F6_1_No_1;10;4,07;WAHR;0;FALSCH;3186,06;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:15:22
N10-C_DV100-C_SV30_F6_10_No_1;10;0,93;WAHR;0;FALSCH;3232,78;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:15:23
N10-C_DV100-C_SV30_F6_11_No_1;10;4,82;WAHR;0;FALSCH;4321,58;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:15:27
N10-C_DV100-C_SV30_F6_12_No_1;10;0,44;WAHR;0;FALSCH;3209,64;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:15:28
N10-C_DV100-C_SV30_F6_13_No_1;10;0,76;WAHR;0;FALSCH;3211,23;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:15:29
N10-C_DV100-C_SV30_F6_14_No_1;10;0,47;WAHR;0;FALSCH;3251,83;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:15:29
N10-C_DV100-C_SV30_F6_2_No_1;10;5,75;WAHR;0;FALSCH;3202,96;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:15:35
N10-C_DV100-C_SV30_F6_3_No_1;10;2,33;WAHR;0;FALSCH;3178,3;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:15:37
N10-C_DV100-C_SV30_F6_4_No_1;10;0,93;WAHR;0;FALSCH;3234,53;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:15:38
N10-C_DV100-C_SV30_F6_5_No_1;10;4,7;WAHR;0;FALSCH;3195,41;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:15:43
N10-C_DV100-C_SV30_F6_6_No_1;10;16,87;WAHR;0;FALSCH;3172,84;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:16:00
N10-C_DV100-C_SV30_F6_7_No_1;10;1,03;WAHR;0;FALSCH;3245,22;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:16:01
N10-C_DV100-C_SV30_F6_8_No_1;10;0,42;WAHR;0;FALSCH;3227,46;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:16:02
N10-C_DV100-C_SV30_F6_9_No_1;10;4,14;WAHR;0;FALSCH;3185,36;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:16:06
N10-C_DV100-C_SV30_F6_0_No_1;10;98,2;WAHR;0;FALSCH;2144,6;FALSCH;WAHR;FALSCH;2015.06.20 - 12:19:42
N10-C_DV100-C_SV30_F6_1_No_1;10;80,91;WAHR;0;FALSCH;3186,06;FALSCH;WAHR;FALSCH;2015.06.20 - 12:21:03
N10-C_DV100-C_SV30_F6_10_No_1;10;15,88;WAHR;0;FALSCH;3232,78;FALSCH;WAHR;FALSCH;2015.06.20 - 12:21:19
N10-C_DV100-C_SV30_F6_11_No_1;10;295,59;WAHR;0;WAHR;3294,81;FALSCH;WAHR;FALSCH;2015.06.20 - 12:26:15
N10-C_DV100-C_SV30_F6_12_No_1;10;30,57;WAHR;0;FALSCH;3209,64;FALSCH;WAHR;FALSCH;2015.06.20 - 12:26:45
N10-C_DV100-C_SV30_F6_13_No_1;10;21,52;WAHR;0;FALSCH;3211,23;FALSCH;WAHR;FALSCH;2015.06.20 - 12:27:07
N10-C_DV100-C_SV30_F6_14_No_1;10;26,55;WAHR;0;WAHR;3239,8;FALSCH;WAHR;FALSCH;2015.06.20 - 12:27:33
N10-C_DV100-C_SV30_F6_2_No_1;10;122,37;WAHR;0;FALSCH;3202,96;FALSCH;WAHR;FALSCH;2015.06.20 - 12:29:36
N10-C_DV100-C_SV30_F6_3_No_1;10;513,65;WAHR;0;FALSCH;3178,3;FALSCH;WAHR;FALSCH;2015.06.20 - 12:38:10
N10-C_DV100-C_SV30_F6_4_No_1;10;5,47;WAHR;0;FALSCH;3234,53;FALSCH;WAHR;FALSCH;2015.06.20 - 12:38:15
N10-C_DV100-C_SV30_F6_5_No_1;10;187,85;WAHR;0;FALSCH;3195,41;FALSCH;WAHR;FALSCH;2015.06.20 - 12:41:23
N10-C_DV100-C_SV30_F6_6_No_1;10;127,48;WAHR;0;FALSCH;3172,84;FALSCH;WAHR;FALSCH;2015.06.20 - 12:43:31
N10-C_DV100-C_SV30_F6_7_No_1;10;16,27;WAHR;0;FALSCH;3245,22;FALSCH;WAHR;FALSCH;2015.06.20 - 12:43:47
N10-C_DV100-C_SV30_F6_8_No_1;10;30,9;WAHR;0;FALSCH;3227,46;FALSCH;WAHR;FALSCH;2015.06.20 - 12:44:18
N10-C_DV100-C_SV30_F6_9_No_1;10;4,78;WAHR;0;FALSCH;3185,36;FALSCH;WAHR;FALSCH;2015.06.20 - 12:44:23
N12-C_DV100-C_SV30_F6_0_No_1;12;2,79;WAHR;0;FALSCH;4280,43;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:49:42
N12-C_DV100-C_SV30_F6_1_No_1;12;60,35;WAHR;0;FALSCH;3214,49;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:50:43
N12-C_DV100-C_SV30_F6_2_No_1;12;9,62;WAHR;0;FALSCH;3206,99;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:50:53
N12-C_DV100-C_SV30_F6_3_No_1;12;11,35;WAHR;0;FALSCH;3220,98;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:51:04
N12-C_DV100-C_SV30_F6_4_No_1;12;1,31;WAHR;0;FALSCH;3242,75;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:51:05
N12-C_DV100-C_SV30_F6_5_No_1;12;22,1;WAHR;0;FALSCH;3221,25;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:51:28
N12-C_DV100-C_SV30_F6_6_No_1;12;22,31;WAHR;0;FALSCH;3240,99;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:51:50
N12-C_DV100-C_SV30_F6_7_No_1;12;44,24;WAHR;0;FALSCH;3224,03;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:52:34
N12-C_DV100-C_SV30_F6_8_No_1;12;14,76;WAHR;0;FALSCH;4301,9;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:52:49
N12-C_DV100-C_SV30_F6_9_No_1;12;15,92;WAHR;0;FALSCH;4302,31;FALSCH;FALSCH;FALSCH;2015.06.20 - 12:53:05
N12-C_DV100-C_SV30_F6_0_No_1;12;4111,1;WAHR;0;FALSCH;4280,43;FALSCH;WAHR;FALSCH;2015.06.20 - 14:12:04
N12-C_DV100-C_SV30_F6_1_No_1;12;7230,41;WAHR;0;FALSCH;3214,49;FALSCH;WAHR;FALSCH;2015.06.20 - 16:12:34
N12-C_DV100-C_SV30_F6_2_No_1;12;6081,43;WAHR;0;FALSCH;3206,99;FALSCH;WAHR;FALSCH;2015.06.20 - 17:53:56
N12-C_DV100-C_SV30_F6_3_No_1;12;2526,61;WAHR;0;FALSCH;3220,98;FALSCH;WAHR;FALSCH;2015.06.20 - 18:36:03
N12-C_DV100-C_SV30_F6_4_No_1;12;4,36;WAHR;0;FALSCH;3242,75;FALSCH;WAHR;FALSCH;2015.06.20 - 18:36:07
N12-C_DV100-C_SV30_F6_5_No_1;12;10800,01;FALSCH;0,28;FALSCH;3221,25;FALSCH;WAHR;FALSCH;2015.06.20 - 21:36:07
N12-C_DV100-C_SV30_F6_6_No_1;12;1551,97;WAHR;0;FALSCH;3240,99;FALSCH;WAHR;FALSCH;2015.06.20 - 22:02:00
N12-C_DV100-C_SV30_F6_7_No_1;12;10800,01;FALSCH;0,59;FALSCH;3224,03;FALSCH;WAHR;FALSCH;2015.06.21 - 01:02:00
N12-C_DV100-C_SV30_F6_10_No_1;12;6,01;WAHR;0;FALSCH;3165,49;FALSCH;WAHR;FALSCH;2015.06.21 - 01:28:39
N12-C_DV100-C_SV30_F6_11_No_1;12;10800;FALSCH;0,2;FALSCH;4246,64;FALSCH;WAHR;FALSCH;2015.06.21 - 04:28:40
N12-C_DV100-C_SV30_F6_12_No_1;12;9065,67;WAHR;0;WAHR;3332,13;FALSCH;WAHR;FALSCH;2015.06.21 - 06:59:46
N12-C_DV100-C_SV30_F6_13_No_1;12;1168,6;WAHR;0;WAHR;3329,95;FALSCH;WAHR;FALSCH;2015.06.21 - 07:19:15
N12-C_DV100-C_SV30_F6_14_No_1;12;442,81;WAHR;0;WAHR;4302,57;FALSCH;WAHR;FALSCH;2015.06.21 - 07:26:38
N12-C_DV100-C_SV30_F6_15_No_1;12;238,6;WAHR;0;FALSCH;3220,49;FALSCH;WAHR;FALSCH;2015.06.21 - 07:30:36
N12-C_DV100-C_SV30_F6_16_No_1;12;10800;FALSCH;0,21;FALSCH;3223,62;FALSCH;WAHR;FALSCH;2015.06.21 - 10:30:36
N12-C_DV100-C_SV30_F6_10_No_1;12;4,85;WAHR;0;FALSCH;3165,49;FALSCH;FALSCH;FALSCH;2015.06.21 - 10:32:20
N12-C_DV100-C_SV30_F6_11_No_1;12;5,67;WAHR;0;FALSCH;4246,64;FALSCH;FALSCH;FALSCH;2015.06.21 - 10:32:26
N12-C_DV100-C_SV30_F6_12_No_1;12;20,94;WAHR;0;FALSCH;4276,45;FALSCH;FALSCH;FALSCH;2015.06.21 - 10:32:47
N12-C_DV100-C_SV30_F6_13_No_1;12;13,69;WAHR;0;FALSCH;4248,77;FALSCH;FALSCH;FALSCH;2015.06.21 - 10:33:01
N12-C_DV100-C_SV30_F6_14_No_1;12;4,49;WAHR;0;FALSCH;4305,7;FALSCH;FALSCH;FALSCH;2015.06.21 - 10:33:05
N12-C_DV100-C_SV30_F6_15_No_1;12;1,01;WAHR;0;FALSCH;3220,49;FALSCH;FALSCH;FALSCH;2015.06.21 - 10:33:06
N12-C_DV100-C_SV30_F6_16_No_1;12;24,2;WAHR;0;FALSCH;3223,62;FALSCH;FALSCH;FALSCH;2015.06.21 - 10:33:31
N12-C_DV100-C_SV30_F6_17_No_1;12;36,58;WAHR;0;FALSCH;3192,48;FALSCH;FALSCH;FALSCH;2015.06.21 - 10:34:07
N12-C_DV100-C_SV30_F6_18_No_1;12;249,06;WAHR;0;FALSCH;4268,38;FALSCH;FALSCH;FALSCH;2015.06.21 - 10:38:16
N12-C_DV100-C_SV30_F6_19_No_1;12;0,91;WAHR;0;FALSCH;4318,04;FALSCH;FALSCH;FALSCH;2015.06.21 - 10:38:17
N12-C_DV100-C_SV30_F6_8_No_1;12;2514,59;WAHR;0;WAHR;3299,59;FALSCH;WAHR;FALSCH;2015.06.21 - 11:27:04
N12-C_DV100-C_SV30_F6_9_No_1;12;817,93;WAHR;0;WAHR;3291,64;FALSCH;WAHR;FALSCH;2015.06.21 - 11:40:42
N12-C_DV100-C_SV30_F6_17_No_1;12;10800,01;FALSCH;0,26;FALSCH;3192,48;FALSCH;WAHR;FALSCH;2015.06.21 - 15:13:11
N12-C_DV100-C_SV30_F6_18_No_1;12;10800,01;FALSCH;0,31;WAHR;3298,86;FALSCH;WAHR;FALSCH;2015.06.21 - 18:13:12
N12-C_DV100-C_SV30_F6_19_No_1;12;518,13;WAHR;0;FALSCH;4318,04;FALSCH;WAHR;FALSCH;2015.06.21 - 18:21:50
N4-C_DV100-C_SV30_F6_0_No_1;4;0,01;WAHR;0;FALSCH;2159,09;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:31
N4-C_DV100-C_SV30_F6_1_No_1;4;0;WAHR;0;FALSCH;2104,31;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:31
N4-C_DV100-C_SV30_F6_10_No_1;4;0;WAHR;0;FALSCH;2167,26;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:31
N4-C_DV100-C_SV30_F6_11_No_1;4;0,01;WAHR;0;FALSCH;1072,41;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:31
N4-C_DV100-C_SV30_F6_12_No_1;4;0,02;WAHR;0;FALSCH;2109,98;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:31
N4-C_DV100-C_SV30_F6_13_No_1;4;0,01;WAHR;0;FALSCH;2111,1;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:31
N4-C_DV100-C_SV30_F6_14_No_1;4;0,01;WAHR;0;FALSCH;2106,99;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:31
N4-C_DV100-C_SV30_F6_2_No_1;4;0,03;WAHR;0;FALSCH;2091,61;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:31
N4-C_DV100-C_SV30_F6_3_No_1;4;0;WAHR;0;FALSCH;2120,8;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:31
N4-C_DV100-C_SV30_F6_4_No_1;4;0,02;WAHR;0;FALSCH;2092,4;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:31
N4-C_DV100-C_SV30_F6_5_No_1;4;0,01;WAHR;0;FALSCH;2098,96;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:31
N4-C_DV100-C_SV30_F6_6_No_1;4;0,03;WAHR;0;FALSCH;2151,26;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:31
N4-C_DV100-C_SV30_F6_7_No_1;4;0,02;WAHR;0;FALSCH;1085,61;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:31
N4-C_DV100-C_SV30_F6_8_No_1;4;0,03;WAHR;0;FALSCH;2126,82;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:32
N4-C_DV100-C_SV30_F6_9_No_1;4;0;WAHR;0;FALSCH;2145,5;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:05:32
N4-C_DV100-C_SV30_F6_0_No_1;4;0,05;WAHR;0;FALSCH;2159,09;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:15
N4-C_DV100-C_SV30_F6_1_No_1;4;0,08;WAHR;0;FALSCH;2104,31;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:15
N4-C_DV100-C_SV30_F6_10_No_1;4;0,07;WAHR;0;FALSCH;2167,26;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:15
N4-C_DV100-C_SV30_F6_11_No_1;4;0,02;WAHR;0;FALSCH;1072,41;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:15
N4-C_DV100-C_SV30_F6_12_No_1;4;0,1;WAHR;0;FALSCH;2109,98;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:15
N4-C_DV100-C_SV30_F6_13_No_1;4;0,06;WAHR;0;FALSCH;2111,1;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:15
N4-C_DV100-C_SV30_F6_14_No_1;4;0,09;WAHR;0;FALSCH;2106,99;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:15
N4-C_DV100-C_SV30_F6_2_No_1;4;0,07;WAHR;0;FALSCH;2091,61;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:15
N4-C_DV100-C_SV30_F6_3_No_1;4;0,04;WAHR;0;FALSCH;2120,8;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:15
N4-C_DV100-C_SV30_F6_4_No_1;4;0,11;WAHR;0;FALSCH;2092,4;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:15
N4-C_DV100-C_SV30_F6_5_No_1;4;0,08;WAHR;0;FALSCH;2098,96;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:15
N4-C_DV100-C_SV30_F6_6_No_1;4;0,11;WAHR;0;FALSCH;2151,26;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:16
N4-C_DV100-C_SV30_F6_7_No_1;4;0,06;WAHR;0;FALSCH;1085,61;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:16
N4-C_DV100-C_SV30_F6_8_No_1;4;0,07;WAHR;0;FALSCH;2126,82;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:16
N4-C_DV100-C_SV30_F6_9_No_1;4;0,04;WAHR;0;FALSCH;2145,5;FALSCH;WAHR;FALSCH;2015.06.21 - 19:06:16
N14-C_DV100-C_SV30_F6_0_No_2;14;10800,07;FALSCH;0,2;FALSCH;4308,92;FALSCH;WAHR;FALSCH;2015.06.21 - 04:19:03
N14-C_DV100-C_SV30_F6_1_No_1;14;10070,69;WAHR;0;FALSCH;3214,11;FALSCH;WAHR;FALSCH;2015.06.21 - 07:06:56
N14-C_DV100-C_SV30_F6_2_No_1;14;8189,51;WAHR;0;FALSCH;4313,01;FALSCH;WAHR;FALSCH;2015.06.21 - 09:23:26
N14-C_DV100-C_SV30_F6_3_No_1;14;20,97;WAHR;0;FALSCH;3237,36;FALSCH;WAHR;FALSCH;2015.06.21 - 09:23:47
N14-C_DV100-C_SV30_F6_4_No_1;14;7775,95;WAHR;0;FALSCH;4320,81;FALSCH;WAHR;FALSCH;2015.06.22 - 12:54:28
N14-C_DV100-C_SV30_F6_5_No_1;14;10800,03;FALSCH;0,3;WAHR;3306,24;FALSCH;WAHR;FALSCH;2015.06.22 - 15:54:28
N14-C_DV100-C_SV30_F6_6_No_1;14;10800,12;FALSCH;0,23;FALSCH;4276,87;FALSCH;WAHR;FALSCH;2015.06.22 - 18:54:30
N14-C_DV100-C_SV30_F6_7_No_1;14;2110,42;WAHR;0;WAHR;4361,98;FALSCH;WAHR;FALSCH;2015.06.22 - 23:25:29
N14-C_DV100-C_SV30_F6_8_No_1;14;10800,05;FALSCH;0,01;WAHR;3343,75;FALSCH;WAHR;FALSCH;2015.06.23 - 02:25:29
N14-C_DV100-C_SV30_F6_9_No_1;14;10269,88;WAHR;0;WAHR;3333,84;FALSCH;WAHR;FALSCH;2015.06.23 - 05:16:41
N14-C_DV100-C_SV30_F6_0_No_1;14;4,39;WAHR;0;FALSCH;4308,92;FALSCH;FALSCH;FALSCH;2015.06.23 - 14:04:45
N14-C_DV100-C_SV30_F6_1_No_1;14;198,43;WAHR;0;FALSCH;3214,11;FALSCH;FALSCH;FALSCH;2015.06.23 - 14:08:03
