//V	Name	X	Y	st	e	l	Demand
Arc	97	98	10.2	10.2	10.2
Arc	10	44	36.12	36.12	36.12
Arc	10	88	30.59	30.59	30.59
Arc	10	45	36.35	36.35	36.35
Arc	10	89	29.12	29.12	29.12
Arc	10	46	34.37	34.37	34.37
Arc	10	47	31.4	31.4	31.4
Arc	10	48	36.67	36.67	36.67
Arc	10	49	31.78	31.78	31.78
Arc	10	90	27.31	27.31	27.31
Arc	10	91	25.71	25.71	25.71
Arc	10	92	37.22	37.22	37.22
Arc	10	93	35.51	35.51	35.51
Arc	10	50	35.17	35.17	35.17
Arc	10	94	34.0	34.0	34.0
Arc	10	51	37.36	37.36	37.36
Arc	10	95	30.41	30.41	30.41
Arc	10	52	32.57	32.57	32.57
Arc	10	96	28.65	28.65	28.65
Arc	10	53	61.66	61.66	61.66
Arc	10	97	31.4	31.4	31.4
Arc	10	54	56.44	56.44	56.44
Arc	10	98	24.7	24.7	24.7
Arc	10	11	3.0	3.0	3.0
Arc	10	55	51.48	51.48	51.48
Arc	10	99	24.41	24.41	24.41
Arc	10	12	21.47	21.47	21.47
Arc	10	56	61.2	61.2	61.2
Arc	10	13	15.81	15.81	15.81
Arc	10	57	51.24	51.24	51.24
Arc	10	14	23.02	23.02	23.02
Arc	10	58	61.07	61.07	61.07
Arc	10	15	20.52	20.52	20.52
Arc	10	59	51.09	51.09	51.09
Arc	10	16	24.21	24.21	24.21
Arc	10	17	19.24	19.24	19.24
Arc	10	18	21.93	21.93	21.93
Arc	10	19	24.41	24.41	24.41
Arc	10	60	61.0	61.0	61.0
Arc	10	61	39.0	39.0	39.0
Arc	10	62	34.44	34.44	34.44
Arc	10	63	30.02	30.02	30.02
Arc	10	20	16.76	16.76	16.76
Arc	10	64	38.28	38.28	38.28
Arc	10	21	14.87	14.87	14.87
Arc	10	65	29.07	29.07	29.07
Arc	10	22	15.65	15.65	15.65
Arc	10	66	33.24	33.24	33.24
Arc	10	23	13.04	13.04	13.04
Arc	10	67	28.64	28.64	28.64
Arc	10	24	18.87	18.87	18.87
Arc	10	68	37.36	37.36	37.36
Arc	10	25	17.2	17.2	17.2
Arc	10	69	32.57	32.57	32.57
Arc	10	26	14.87	14.87	14.87
Arc	10	27	18.44	18.44	18.44
Arc	10	28	16.28	16.28	16.28
Arc	10	29	21.93	21.93	21.93
Arc	10	70	69.97	69.97	69.97
Arc	10	71	67.54	67.54	67.54
Arc	10	72	40.25	40.25	40.25
Arc	10	73	67.42	67.42	67.42
Arc	10	30	18.6	18.6	18.6
Arc	10	74	35.85	35.85	35.85
Arc	10	31	39.82	39.82	39.82
Arc	10	75	10.05	10.05	10.05
Arc	10	32	36.07	36.07	36.07
Arc	10	76	63.13	63.13	63.13
Arc	10	33	37.48	37.48	37.48
Arc	10	77	64.07	64.07	64.07
Arc	10	34	34.21	34.21	34.21
Arc	10	78	61.4	61.4	61.4
Arc	10	35	43.14	43.14	43.14
Arc	10	79	63.25	63.25	63.25
Arc	10	36	36.62	36.62	36.62
Arc	10	37	42.01	42.01	42.01
Arc	10	38	43.6	43.6	43.6
Arc	10	39	40.82	40.82	40.82
Arc	10	100	27.59	27.59	27.59
Arc	10	80	64.66	64.66	64.66
Arc	10	81	58.83	58.83	58.83
Arc	10	82	41.48	41.48	41.48
Arc	10	83	38.6	38.6	38.6
Arc	10	40	36.0	36.0	36.0
Arc	10	84	35.9	35.9	35.9
Arc	10	41	34.0	34.0	34.0
Arc	10	85	33.54	33.54	33.54
Arc	10	42	34.06	34.06	34.06
Arc	10	86	32.89	32.89	32.89
Arc	10	43	31.06	31.06	31.06
Arc	10	87	31.95	31.95	31.95
Arc	98	99	5.83	5.83	5.83
Arc	98	100	10.44	10.44	10.44
Arc	11	44	39.12	39.12	39.12
Arc	11	88	31.32	31.32	31.32
Arc	11	45	39.32	39.32	39.32
Arc	11	89	30.08	30.08	30.08
Arc	11	46	37.34	37.34	37.34
Arc	11	47	34.37	34.37	34.37
Arc	11	48	39.62	39.62	39.62
Arc	11	49	34.71	34.71	34.71
Arc	11	90	28.65	28.65	28.65
Arc	11	91	26.57	26.57	26.57
Arc	11	92	35.78	35.78	35.78
Arc	11	93	34.0	34.0	34.0
Arc	11	50	38.08	38.08	38.08
Arc	11	94	32.7	32.7	32.7
Arc	11	51	40.26	40.26	40.26
Arc	11	95	29.15	29.15	29.15
Arc	11	52	35.44	35.44	35.44
Arc	11	96	27.31	27.31	27.31
Arc	11	53	64.63	64.63	64.63
Arc	11	97	29.68	29.68	29.68
Arc	11	54	59.41	59.41	59.41
Arc	11	98	23.77	23.77	23.77
Arc	11	55	54.45	54.45	54.45
Arc	11	99	22.83	22.83	22.83
Arc	11	12	18.87	18.87	18.87
Arc	11	56	64.2	64.2	64.2
Arc	11	13	14.32	14.32	14.32
Arc	11	57	54.23	54.23	54.23
Arc	11	14	20.62	20.62	20.62
Arc	11	58	64.07	64.07	64.07
Arc	11	15	18.6	18.6	18.6
Arc	11	59	54.08	54.08	54.08
Arc	11	16	21.93	21.93	21.93
Arc	11	17	18.03	18.03	18.03
Arc	11	18	20.88	20.88	20.88
Arc	11	19	22.83	22.83	22.83
Arc	11	60	64.0	64.0	64.0
Arc	11	61	41.79	41.79	41.79
Arc	11	62	37.16	37.16	37.16
Arc	11	63	32.65	32.65	32.65
Arc	11	20	19.65	19.65	19.65
Arc	11	64	41.11	41.11	41.11
Arc	11	21	17.72	17.72	17.72
Arc	11	65	31.78	31.78	31.78
Arc	11	22	18.38	18.38	18.38
Arc	11	66	36.06	36.06	36.06
Arc	11	23	15.65	15.65	15.65
Arc	11	67	31.38	31.38	31.38
Arc	11	24	21.47	21.47	21.47
Arc	11	68	40.26	40.26	40.26
Arc	11	25	19.72	19.72	19.72
Arc	11	69	35.44	35.44	35.44
Arc	11	26	17.2	17.2	17.2
Arc	11	27	20.81	20.81	20.81
Arc	11	28	18.44	18.44	18.44
Arc	11	29	24.21	24.21	24.21
Arc	11	70	71.56	71.56	71.56
Arc	11	71	68.96	68.96	68.96
Arc	11	72	42.95	42.95	42.95
Arc	11	73	69.07	69.07	69.07
Arc	11	30	20.52	20.52	20.52
Arc	11	74	38.47	38.47	38.47
Arc	11	31	42.2	42.2	42.2
Arc	11	75	10.77	10.77	10.77
Arc	11	32	38.29	38.29	38.29
Arc	11	76	64.66	64.66	64.66
Arc	11	33	39.62	39.62	39.62
Arc	11	77	65.8	65.8	65.8
Arc	11	34	36.12	36.12	36.12
Arc	11	78	62.97	62.97	62.97
Arc	11	35	45.34	45.34	45.34
Arc	11	79	65.0	65.0	65.0
Arc	11	36	38.42	38.42	38.42
Arc	11	37	43.93	43.93	43.93
Arc	11	38	45.45	45.45	45.45
Arc	11	39	42.44	42.44	42.44
Arc	11	100	25.61	25.61	25.61
Arc	11	80	66.6	66.6	66.6
Arc	11	81	60.46	60.46	60.46
Arc	11	82	42.38	42.38	42.38
Arc	11	83	39.56	39.56	39.56
Arc	11	40	39.0	39.0	39.0
Arc	11	84	36.69	36.69	36.69
Arc	11	41	37.0	37.0	37.0
Arc	11	85	34.21	34.21	34.21
Arc	11	42	37.05	37.05	37.05
Arc	11	86	34.01	34.01	34.01
Arc	11	43	34.06	34.06	34.06
Arc	11	87	33.11	33.11	33.11
Arc	99	100	5.0	5.0	5.0
Arc	12	44	55.44	55.44	55.44
Arc	12	88	47.17	47.17	47.17
Arc	12	45	55.23	55.23	55.23
Arc	12	89	46.62	46.62	46.62
Arc	12	46	53.24	53.24	53.24
Arc	12	47	50.25	50.25	50.25
Arc	12	48	55.08	55.08	55.08
Arc	12	49	50.09	50.09	50.09
Arc	12	90	46.1	46.1	46.1
Arc	12	91	43.01	43.01	43.01
Arc	12	92	42.0	42.0	42.0
Arc	12	93	40.0	40.0	40.0
Arc	12	50	53.01	53.01	53.01
Arc	12	94	40.11	40.11	40.11
Arc	12	51	55.0	55.0	55.0
Arc	12	95	37.34	37.34	37.34
Arc	12	52	50.0	50.0	50.0
Arc	12	96	35.36	35.36	35.36
Arc	12	53	82.23	82.23	82.23
Arc	12	97	35.0	35.0	35.0
Arc	12	54	76.9	76.9	76.9
Arc	12	98	34.48	34.48	34.48
Arc	12	55	72.03	72.03	72.03
Arc	12	99	30.41	30.41	30.41
Arc	12	56	81.39	81.39	81.39
Arc	12	13	10.44	10.44	10.44
Arc	12	57	71.59	71.59	71.59
Arc	12	14	3.0	3.0	3.0
Arc	12	58	81.05	81.05	81.05
Arc	12	15	7.07	7.07	7.07
Arc	12	59	71.2	71.2	71.2
Arc	12	16	5.0	5.0	5.0
Arc	12	17	12.21	12.21	12.21
Arc	12	18	14.14	14.14	14.14
Arc	12	19	11.18	11.18	11.18
Arc	12	60	80.62	80.62	80.62
Arc	12	61	60.42	60.42	60.42
Arc	12	62	55.9	55.9	55.9
Arc	12	63	51.48	51.48	51.48
Arc	12	20	35.36	35.36	35.36
Arc	12	64	59.62	59.62	59.62
Arc	12	21	33.38	33.38	33.38
Arc	12	65	50.54	50.54	50.54
Arc	12	22	33.14	33.14	33.14
Arc	12	66	54.63	54.63	54.63
Arc	12	23	30.15	30.15	30.15
Arc	12	67	50.09	50.09	50.09
Arc	12	24	35.0	35.0	35.0
Arc	12	68	58.52	58.52	58.52
Arc	12	25	33.0	33.0	33.0
Arc	12	69	53.85	53.85	53.85
Arc	12	26	30.0	30.0	30.0
Arc	12	27	33.06	33.06	33.06
Arc	12	28	30.07	30.07	30.07
Arc	12	29	35.36	35.36	35.36
Arc	12	70	89.02	89.02	89.02
Arc	12	71	86.02	86.02	86.02
Arc	12	72	61.72	61.72	61.72
Arc	12	73	86.68	86.68	86.68
Arc	12	30	30.41	30.41	30.41
Arc	12	74	57.31	57.31	57.31
Arc	12	31	52.2	52.2	52.2
Arc	12	75	28.28	28.28	28.28
Arc	12	32	47.43	47.43	47.43
Arc	12	76	82.01	82.01	82.01
Arc	12	33	48.1	48.1	48.1
Arc	12	77	83.63	83.63	83.63
Arc	12	34	43.46	43.46	43.46
Arc	12	78	80.43	80.43	80.43
Arc	12	35	53.85	53.85	53.85
Arc	12	79	82.88	82.88	82.88
Arc	12	36	44.72	44.72	44.72
Arc	12	37	50.54	50.54	50.54
Arc	12	38	51.48	51.48	51.48
Arc	12	39	47.17	47.17	47.17
Arc	12	100	30.0	30.0	30.0
Arc	12	80	84.85	84.85	84.85
Arc	12	81	78.1	78.1	78.1
Arc	12	82	58.31	58.31	58.31
Arc	12	83	55.76	55.76	55.76
Arc	12	40	55.9	55.9	55.9
Arc	12	84	52.48	52.48	52.48
Arc	12	41	53.94	53.94	53.94
Arc	12	85	49.74	49.74	49.74
Arc	12	42	53.6	53.6	53.6
Arc	12	86	50.8	50.8	50.8
Arc	12	43	50.64	50.64	50.64
Arc	12	87	50.0	50.0	50.0
Arc	13	44	46.1	46.1	46.1
Arc	13	88	45.54	45.54	45.54
Arc	13	45	45.71	45.71	45.71
Arc	13	89	44.38	44.38	44.38
Arc	13	46	43.74	43.74	43.74
Arc	13	47	40.79	40.79	40.79
Arc	13	48	45.4	45.4	45.4
Arc	13	49	40.45	40.45	40.45
Arc	13	90	42.94	42.94	42.94
Arc	13	91	40.85	40.85	40.85
Arc	13	92	46.1	46.1	46.1
Arc	13	93	44.15	44.15	44.15
Arc	13	50	43.19	43.19	43.19
Arc	13	94	43.57	43.57	43.57
Arc	13	51	45.1	45.1	45.1
Arc	13	95	40.31	40.31	40.31
Arc	13	52	40.11	40.11	40.11
Arc	13	96	38.33	38.33	38.33
Arc	13	53	73.38	73.38	73.38
Arc	13	97	39.29	39.29	39.29
Arc	13	54	68.01	68.01	68.01
Arc	13	98	36.0	36.0	36.0
Arc	13	55	63.25	63.25	63.25
Arc	13	99	33.38	33.38	33.38
Arc	13	56	72.28	72.28	72.28
Arc	13	57	62.64	62.64	62.64
Arc	13	14	10.0	10.0	10.0
Arc	13	58	71.81	71.81	71.81
Arc	13	15	5.39	5.39	5.39
Arc	13	59	62.1	62.1	62.1
Arc	13	16	10.2	10.2	10.2
Arc	13	17	4.0	4.0	4.0
Arc	13	18	7.0	7.0	7.0
Arc	13	19	8.6	8.6	8.6
Arc	13	60	71.2	71.2	71.2
Arc	13	61	53.0	53.0	53.0
Arc	13	62	48.83	48.83	48.83
Arc	13	63	44.82	44.82	44.82
Arc	13	20	26.25	26.25	26.25
Arc	13	64	51.97	51.97	51.97
Arc	13	21	24.35	24.35	24.35
Arc	13	65	43.6	43.6	43.6
Arc	13	22	23.77	23.77	23.77
Arc	13	66	47.17	47.17	47.17
Arc	13	23	20.88	20.88	20.88
Arc	13	67	43.01	43.01	43.01
Arc	13	24	25.18	25.18	25.18
Arc	13	68	50.54	50.54	50.54
Arc	13	25	23.19	23.19	23.19
Arc	13	69	46.14	46.14	46.14
Arc	13	26	20.22	20.22	20.22
Arc	13	27	23.02	23.02	23.02
Arc	13	28	20.02	20.02	20.02
Arc	13	29	25.08	25.08	25.08
Arc	13	70	85.76	85.76	85.76
Arc	13	71	83.24	83.24	83.24
Arc	13	72	54.64	54.64	54.64
Arc	13	73	83.22	83.22	83.22
Arc	13	30	20.1	20.1	20.1
Arc	13	74	50.61	50.61	50.61
Arc	13	31	41.76	41.76	41.76
Arc	13	75	25.08	25.08	25.08
Arc	13	32	37.0	37.0	37.0
Arc	13	76	78.89	78.89	78.89
Arc	13	33	37.7	37.7	37.7
Arc	13	77	79.88	79.88	79.88
Arc	13	34	33.11	33.11	33.11
Arc	13	78	77.18	77.18	77.18
Arc	13	35	43.46	43.46	43.46
Arc	13	79	79.06	79.06	79.06
Arc	13	36	34.48	34.48	34.48
Arc	13	37	40.31	40.31	40.31
Arc	13	38	41.34	41.34	41.34
Arc	13	39	37.2	37.2	37.2
Arc	13	100	34.48	34.48	34.48
Arc	13	80	80.43	80.43	80.43
Arc	13	81	74.63	74.63	74.63
Arc	13	82	56.65	56.65	56.65
Arc	13	83	53.85	53.85	53.85
Arc	13	40	46.84	46.84	46.84
Arc	13	84	50.92	50.92	50.92
Arc	13	41	44.92	44.92	44.92
Arc	13	85	48.38	48.38	48.38
Arc	13	42	44.38	44.38	44.38
Arc	13	86	48.33	48.33	48.33
Arc	13	43	41.48	41.48	41.48
Arc	13	87	47.42	47.42	47.42
Arc	14	44	55.9	55.9	55.9
Arc	14	88	49.74	49.74	49.74
Arc	14	45	55.58	55.58	55.58
Arc	14	89	49.09	49.09	49.09
Arc	14	46	53.6	53.6	53.6
Arc	14	47	50.64	50.64	50.64
Arc	14	48	55.33	55.33	55.33
Arc	14	49	50.36	50.36	50.36
Arc	14	90	48.41	48.41	48.41
Arc	14	91	45.49	45.49	45.49
Arc	14	92	45.0	45.0	45.0
Arc	14	93	43.0	43.0	43.0
Arc	14	50	53.15	53.15	53.15
Arc	14	94	43.1	43.1	43.1
Arc	14	51	55.08	55.08	55.08
Arc	14	95	40.31	40.31	40.31
Arc	14	52	50.09	50.09	50.09
Arc	14	96	38.33	38.33	38.33
Arc	14	53	82.97	82.97	82.97
Arc	14	97	38.0	38.0	38.0
Arc	14	54	77.62	77.62	77.62
Arc	14	98	37.36	37.36	37.36
Arc	14	55	72.8	72.8	72.8
Arc	14	99	33.38	33.38	33.38
Arc	14	56	82.0	82.0	82.0
Arc	14	57	72.28	72.28	72.28
Arc	14	58	81.58	81.58	81.58
Arc	14	15	5.39	5.39	5.39
Arc	14	59	71.81	71.81	71.81
Arc	14	16	2.0	2.0	2.0
Arc	14	17	10.77	10.77	10.77
Arc	14	18	12.21	12.21	12.21
Arc	14	19	8.6	8.6	8.6
Arc	14	60	81.05	81.05	81.05
Arc	14	61	61.72	61.72	61.72
Arc	14	62	57.31	57.31	57.31
Arc	14	63	53.0	53.0	53.0
Arc	14	20	35.9	35.9	35.9
Arc	14	64	60.84	60.84	60.84
Arc	14	21	33.96	33.96	33.96
Arc	14	65	51.97	51.97	51.97
Arc	14	22	33.54	33.54	33.54
Arc	14	66	55.9	55.9	55.9
Arc	14	23	30.59	30.59	30.59
Arc	14	67	51.48	51.48	51.48
Arc	14	24	35.13	35.13	35.13
Arc	14	68	59.62	59.62	59.62
Arc	14	25	33.14	33.14	33.14
Arc	14	69	55.04	55.04	55.04
Arc	14	26	30.15	30.15	30.15
Arc	14	27	33.02	33.02	33.02
Arc	14	28	30.02	30.02	30.02
Arc	14	29	35.06	35.06	35.06
Arc	14	70	91.4	91.4	91.4
Arc	14	71	88.48	88.48	88.48
Arc	14	72	63.13	63.13	63.13
Arc	14	73	89.02	89.02	89.02
Arc	14	30	30.07	30.07	30.07
Arc	14	74	58.83	58.83	58.83
Arc	14	31	51.42	51.42	51.42
Arc	14	75	30.48	30.48	30.48
Arc	14	32	46.57	46.57	46.57
Arc	14	76	84.4	84.4	84.4
Arc	14	33	47.13	47.13	47.13
Arc	14	77	85.91	85.91	85.91
Arc	14	34	42.38	42.38	42.38
Arc	14	78	82.8	82.8	82.8
Arc	14	35	52.81	52.81	52.81
Arc	14	79	85.15	85.15	85.15
Arc	14	36	43.46	43.46	43.46
Arc	14	37	49.24	49.24	49.24
Arc	14	38	50.09	50.09	50.09
Arc	14	39	45.65	45.65	45.65
Arc	14	100	33.0	33.0	33.0
Arc	14	80	87.0	87.0	87.0
Arc	14	81	80.43	80.43	80.43
Arc	14	82	60.9	60.9	60.9
Arc	14	83	58.31	58.31	58.31
Arc	14	40	56.52	56.52	56.52
Arc	14	84	55.07	55.07	55.07
Arc	14	41	54.57	54.57	54.57
Arc	14	85	52.35	52.35	52.35
Arc	14	42	54.13	54.13	54.13
Arc	14	86	53.25	53.25	53.25
Arc	14	43	51.2	51.2	51.2
Arc	14	87	52.43	52.43	52.43
Arc	15	44	51.42	51.42	51.42
Arc	15	88	49.24	49.24	49.24
Arc	15	45	50.99	50.99	50.99
Arc	15	89	48.3	48.3	48.3
Arc	15	46	49.03	49.03	49.03
Arc	15	47	46.1	46.1	46.1
Arc	15	48	50.64	50.64	50.64
Arc	15	49	45.71	45.71	45.71
Arc	15	90	47.17	47.17	47.17
Arc	15	91	44.72	44.72	44.72
Arc	15	92	47.27	47.27	47.27
Arc	15	93	45.28	45.28	45.28
Arc	15	50	48.37	48.37	48.37
Arc	15	94	45.04	45.04	45.04
Arc	15	51	50.25	50.25	50.25
Arc	15	95	42.0	42.0	42.0
Arc	15	52	45.28	45.28	45.28
Arc	15	96	40.0	40.0	40.0
Arc	15	53	78.75	78.75	78.75
Arc	15	97	40.31	40.31	40.31
Arc	15	54	73.38	73.38	73.38
Arc	15	98	38.33	38.33	38.33
Arc	15	55	68.62	68.62	68.62
Arc	15	99	35.0	35.0	35.0
Arc	15	56	77.62	77.62	77.62
Arc	15	57	68.01	68.01	68.01
Arc	15	58	77.13	77.13	77.13
Arc	15	59	67.45	67.45	67.45
